date,new_cases,new_deaths,cases_7d,deaths_7d,cases_7d_per_100k,naive_cfr,lagged_cfr_14
2023-10-03,0.0,0.0,1107.8109589041096,9.202739726027398,0.00781704749596231,0.011823238635628768,0.007239629806842625
2023-10-04,0.0,0.0,1107.8109589041096,9.202739726027398,0.00781704749596231,0.011823238635628768,0.007239629806842625
2023-10-05,0.0,0.0,1107.8109589041096,9.202739726027398,0.00781704749596231,0.011823238635628768,0.007239629806842625
2023-10-06,0.0,0.0,1107.8109589041096,9.202739726027398,0.00781704749596231,0.011823238635628768,0.007239629806842625
2023-10-07,0.0,0.0,1107.8109589041096,9.202739726027398,0.00781704749596231,0.011823238635628768,0.007239629806842625
2023-10-08,490.0,2.0,1109.1534246575343,9.208219178082192,0.007826520338302312,0.011823154336882542,0.00723827737182262
2023-10-09,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-10,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-11,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-12,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-13,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-14,0.0,0.0,1061.13698630137,8.863013698630137,0.0074877018998311924,0.011823154336882542,0.007516071847606125
2023-10-15,260.0,3.0,1061.849315068493,8.871232876712329,0.007492728305970784,0.011823152691975758,0.007517575059666979
2023-10-16,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-17,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-18,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-19,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-20,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-21,0.0,0.0,1015.7808219178082,8.608219178082193,0.007167655155058319,0.011823152691975758,0.007770476640344651
2023-10-22,1464.0,1254.0,1019.7917808219178,12.043835616438356,0.007195957688090483,0.011850634069621306,0.010858583987293778
2023-10-23,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-24,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-25,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-26,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-27,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-28,0.0,0.0,981.6712328767123,11.863013698630137,0.006926967630297083,0.011850634069621306,0.01117953087280379
2023-10-29,193.0,2.0,982.2,11.868493150684932,0.006930698770239165,0.011850627688189515,0.01117719151132039
2023-10-30,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-10-31,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-11-01,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-11-02,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-11-03,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-11-04,0.0,0.0,956.1068493150685,11.717808219178082,0.0067465776468796455,0.011850627688189515,0.011535764375876579
2023-11-05,139.0,1.0,956.4876712328767,11.72054794520548,0.006749264840931196,0.01185061330558189,0.011493079436038514
2023-11-06,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
2023-11-07,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
2023-11-08,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
